,Date,Season,home,visitor,FT,hgoal,vgoal,hconf,vconf,totgoal,round,leg,hgoalaet,vgoalaet,hpen,vpen
2673,2009-10-17,2009,New England Revolution,Chicago Fire,0-0,0,0,East,East,0,regular,,,,,
2674,2009-10-17,2009,DC United,Columbus Crew,1-0,1,0,East,East,1,regular,,,,,
2675,2009-10-17,2009,FC Dallas,Colorado Rapids,2-1,2,1,West,West,3,regular,,,,,
2676,2009-10-17,2009,Sporting Kansas City,Seattle Sounders,2-3,2,3,East,West,5,regular,,,,,
2677,2009-10-18,2009,CD Chivas USA,San Jose Earthquakes,2-2,2,2,West,West,4,regular,,,,,
2678,2009-10-18,2009,Houston Dynamo,LA Galaxy,0-0,0,0,West,West,0,regular,,,,,
2679,2009-10-22,2009,Chicago Fire,CD Chivas USA,1-0,1,0,East,West,1,regular,,,,,
2680,2009-10-24,2009,New York Red Bulls,Toronto FC,5-0,5,0,East,East,5,regular,,,,,
2681,2009-10-24,2009,Sporting Kansas City,DC United,2-2,2,2,East,East,4,regular,,,,,
2682,2009-10-24,2009,Real Salt Lake,Colorado Rapids,3-0,3,0,West,West,3,regular,,,,,
2683,2009-10-25,2009,Seattle Sounders,FC Dallas,2-1,2,1,West,West,3,regular,,,,,
2684,2009-10-25,2009,LA Galaxy,San Jose Earthquakes,2-0,2,0,West,West,2,regular,,,,,
2685,2009-10-25,2009,CD Chivas USA,Houston Dynamo,2-3,2,3,West,West,5,regular,,,,,
2686,2009-10-25,2009,Columbus Crew,New England Revolution,0-1,0,1,East,East,1,regular,,,,,
2687,2009-10-29,2009,Seattle Sounders,Houston Dynamo,0-0,0,0,West,West,0,conf_semi,1.0,,,,
2688,2009-10-31,2009,Real Salt Lake,Columbus Crew,1-0,1,0,West,East,1,conf_semi,1.0,,,,
2689,2009-11-01,2009,New England Revolution,Chicago Fire,2-1,2,1,East,East,3,conf_semi,1.0,,,,
2690,2009-11-01,2009,CD Chivas USA,LA Galaxy,2-2,2,2,West,West,4,conf_semi,1.0,,,,
2691,2009-11-05,2009,Columbus Crew,Real Salt Lake,2-3,2,3,East,West,5,conf_semi,2.0,,,,
2692,2009-11-07,2009,Chicago Fire,New England Revolution,2-0,2,0,East,East,2,conf_semi,2.0,,,,
2693,2009-11-08,2009,Houston Dynamo,Seattle Sounders,0-0,0,0,West,West,0,conf_semi,2.0,1.0,0.0,,
2694,2009-11-08,2009,LA Galaxy,CD Chivas USA,1-0,1,0,West,West,1,conf_semi,2.0,,,,
2695,2009-11-14,2009,LA Galaxy,Houston Dynamo,0-0,0,0,West,West,0,conf_final,,2.0,0.0,,
2696,2009-11-14,2009,Chicago Fire,Real Salt Lake,0-0,0,0,East,West,0,conf_final,,0.0,0.0,4.0,5.0
2697,2009-11-22,2009,LA Galaxy,Real Salt Lake,1-1,1,1,West,West,2,mls_final,,1.0,1.0,4.0,5.0
2698,2010-03-25,2010,Seattle Sounders,Philadelphia Union,2-0,2,0,West,East,2,regular,,,,,
2699,2010-03-27,2010,CD Chivas USA,Colorado Rapids,0-1,0,1,West,West,1,regular,,,,,
2700,2010-03-27,2010,Columbus Crew,Toronto FC,2-0,2,0,East,East,2,regular,,,,,
2701,2010-03-27,2010,FC Dallas,Houston Dynamo,1-1,1,1,West,West,2,regular,,,,,
2702,2010-03-27,2010,New York Red Bulls,Chicago Fire,1-0,1,0,East,East,1,regular,,,,,
2703,2010-03-27,2010,Sporting Kansas City,DC United,4-0,4,0,East,East,4,regular,,,,,
2704,2010-03-27,2010,San Jose Earthquakes,Real Salt Lake,0-3,0,3,West,West,3,regular,,,,,
2705,2010-03-28,2010,LA Galaxy,New England Revolution,1-0,1,0,West,East,1,regular,,,,,
2706,2010-04-01,2010,Houston Dynamo,Real Salt Lake,2-1,2,1,West,West,3,regular,,,,,
2707,2010-04-02,2010,LA Galaxy,CD Chivas USA,2-0,2,0,West,West,2,regular,,,,,
2708,2010-04-03,2010,Colorado Rapids,Chicago Fire,2-2,2,2,West,East,4,regular,,,,,
2709,2010-04-03,2010,DC United,New England Revolution,0-2,0,2,East,East,2,regular,,,,,
2710,2010-04-04,2010,Seattle Sounders,New York Red Bulls,0-1,0,1,West,East,1,regular,,,,,
2711,2010-04-10,2010,CD Chivas USA,New York Red Bulls,2-0,2,0,West,East,2,regular,,,,,
2712,2010-04-10,2010,Philadelphia Union,DC United,3-2,3,2,East,East,5,regular,,,,,
2713,2010-04-10,2010,New England Revolution,Toronto FC,4-1,4,1,East,East,5,regular,,,,,
2714,2010-04-10,2010,FC Dallas,Columbus Crew,2-2,2,2,West,East,4,regular,,,,,
2715,2010-04-10,2010,Houston Dynamo,LA Galaxy,0-2,0,2,West,West,2,regular,,,,,
2716,2010-04-10,2010,Sporting Kansas City,Colorado Rapids,1-0,1,0,East,West,1,regular,,,,,
2717,2010-04-10,2010,Chicago Fire,San Jose Earthquakes,1-2,1,2,East,West,3,regular,,,,,
2718,2010-04-10,2010,Real Salt Lake,Seattle Sounders,2-2,2,2,West,West,4,regular,,,,,
2719,2010-04-15,2010,Toronto FC,Philadelphia Union,2-1,2,1,East,East,3,regular,,,,,
2720,2010-04-17,2010,Seattle Sounders,Sporting Kansas City,1-0,1,0,West,East,1,regular,,,,,
